Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
DevOps for Databases in Azure with MySQL and Terraform,"If you’re already familiar with DevOps practices and are wondering if these methods can apply to databases as well, this is the course for you. In this project-focused course from CloudSkills, instructor Michael Levan reveals how DevOps for databases is not all that different from what you might already be doing. Michael starts off with some basics of DevOps for databases, like why it’s important, and the tools you use in DevOps today that can be used with databases. He then gets into the project, showing how to create a MySQL database with Terraform, and how to take that same Terraform configuration and automate, via CI/CD, the MySQL dataset creation with Azure DevOps. If you’ve been wondering why you might want to use DevOps for databases, this course provides some answers—you no longer have to hold up app delivery; collaboration between teams means better deployment outcomes, procedures, and automation—along with a project you can work on that illustrates these benefits.

<br><br>

Note: This course was created by CloudSkills.io. We are pleased to host this training in our library.",Course,2023-02-02 00:55 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2020-12-06 13:51 UTC,N/A,false,N/A,
GraphQL Essential Training (2018),"GraphQL—a query language for APIs that was originally built by Facebook—makes it easier for you to get the data you actually need from a query. In this course, learn how to get started with GraphQL. Instructor Emmanuel Henri walks through how to set up GraphQL, explores the GraphQL schema, and goes over the basic types and fields. He also shows how to set up persistence—including how to use SQL and MongoDB with GraphQL; covers how to add new items with mutations; and shares how to leverage some advanced features in your queries.",Course,2018-11-25 16:48 UTC,N/A,false,N/A,
Managing Career Burnout,"For many professionals, remaining constantly connected and on task can feel like a requirement for success. Long hours and chronic exhaustion are normalized—if not celebrated—in many workplaces. But a lack of boundaries between work and life can cause even the hardest workers among us to wind up resentful and unhappy—even in jobs that once fulfilled them. In this course, instructor Emilie Aries breaks down what burnout is, what causes it, and how to take back your power and energy. Discover how to identify your burnout triggers—whether it's lack of agency, rest, community, or purpose—and take steps to reframe your situation and get help. Plus, get practical strategies to  ensure that you kick burnout to the curb for good.",Course,2021-09-09 12:28 UTC,N/A,false,N/A,
Learning React.js (2018),"React.js is a JavaScript library designed to make the process of building user interfaces more simple and intuitive. Design basic views for each state in your application, and React will efficiently update and render just the right components when your data changes. In this course, Eve Porcello helps you get started with React, guiding you through the interface design of a sample full-stack bulletin board app. She reviews components, properties, and component state, as well as the foundational parent/child relationships within React. Eve also describes the lifecycle of components and how developers can trigger creation, lifetime, and teardown events. The course wraps with a chapter dedicated to building an enhanced version of the app by updating components and loading data from an API. Plus, learn how to generate an optimized production build with create-react-app.",Course,2018-11-09 17:50 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2021-01-20 23:09 UTC,N/A,false,N/A,
8 Things You Must Know in Python,"There are many beginner Python tutorials, but to build useful applications, you need to move beyond the basics. This course helps you on the journey to writing intermediate-level Python code. Instructor Jonathan Fernandes presents eight things that you should know how to do in Python. Topics include the Python any() and all() methods, using enumerate() and zip() methods, min() and max(), and more. For each topic, Jonathan provides a hands-on approach and then gives you a challenge (with solutions) to practice.
<br><br>
Note: This course was created by Jonathan Fernandes. We are pleased to host this training in our library.",Course,2021-08-31 10:26 UTC,N/A,false,N/A,
Lightroom for Faces (2019),"Retouching faces used to be challenging without using Adobe Photoshop, but recent improvements in Lightroom—involving the Spot Removal tool, Clone Stamp tool, Adjustment Brush tool, syncing capabilities, and more—have made it much simpler to use Lightroom as a stand-alone solution. This course shows you how to save time by staying in Lightroom instead of Photoshop. Discover how to remove unwanted blemishes, make local or targeted adjustments, enhance eyes, smooth skin, and more.",Course,2020-09-28 17:39 UTC,N/A,false,N/A,
Building React and ASP.NET MVC 5 Applications,"React.js is a popular framework that's especially suited to building web apps with ASP.NET MVC 5, but integrating the two frameworks can be challenging. In this course, instructor Kazi Nasrat Ali steps through how to wire these two frameworks together to develop full-stack React and ASP.NET MVC 5 web apps. Learn how to build a front end with React.js and a backend with ASP.NET MVC 5 and Entity Framework by creating a full-stack web app for a restaurant. Create user logins, add shopping cart functionality to your app, secure the API, and optimize for mobile. Upon wrapping up this course, you'll have the skills you need to combine the powers of React.js and ASP.NET MVC 5 to create high-quality, impactful webpages.",Course,2021-07-20 04:29 UTC,N/A,false,N/A,
Succeeding in a New Role By Managing Up,"The start of a career is an exciting yet vulnerable place to be. You have the freshness and energy on your side, but you also have very little experience with how your industry and your new company actually work. The good news is you’re not alone. We’ve all been there before. This course brings together advice from a diverse set of experts, such as Oscar-winning actor Ed Norton and Adam Grant, the youngest tenured professor at Wharton. They explain how to develop a fearless mindset and build the productivity and networking skills you need to succeed in a new role. By understanding the dynamics that early-career employees face and “managing up” by building strong relationships, you can gain the confidence and support you’ll need to thrive.<br><br>

This course includes videos from: <br>
<b>Edward Norton</b>, Oscar-winning actor and founder of CrowdRise<br>
<b>Kathryn Minshew</b>, founder and CEO of The Muse, a career-discovery platform<br>
<b>Adam Grant</b>, Wharton professor and expert in motivation and behavior<br>
<b>Sarah Robb O'Hagan</b>, executive, activist, entrepreneur, and the CEO of Flywheel Sports<br>
<b>Simon O. Sinek</b>, author of <i>Start with Why: How Great Leaders Inspire Everyone to Take Action</i><br>

Note: This course was produced by <a href=”https://edge.bigthink.com/users/sign_up” target=”_blank”>Big Think</a>. We are pleased to host this content in our library.",Course,2021-07-30 23:25 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2020-04-24 14:20 UTC,N/A,false,N/A,
Find a Job in the Hidden Job Market,"80% of jobs are not posted on job boards or company websites. These positions are filled in the hidden job market. In this course, you can learn how to access these unadvertised jobs by targeting your search, changing how and where you network, and taking action to supercharge your job hunt. Career strategist and former recruiter Sarah Johnston shows how to refine your job search goals, identify the companies you want to work for, and focus your efforts. She explains how to get your foot in the door by requesting an informational interview and how to build a network of contacts through conferences, trade associations, job search clubs, and more. Each tip helps you build valuable momentum and skills for a successful job search.",Course,2020-11-23 20:10 UTC,N/A,false,N/A,
Test Automation with Python: 2 Python for Testers,"This second course in the </i>Test Automation with Python</i> series focuses on writing code to automate software testing. As opposed to no-code tests where you record your actions in an app for later playback, writing code for automation gives you more flexibility in many cases, such as when a small change to the app causes the testing process to change. This course also explains the choice of Python as the programming language. While Java is probably the most popular language used with Selenium and Appium, it can lead to unnecessary complexity and confusion unless you know it well. Python, meanwhile, is powerful, simple, and expressive, and in some ways is more flexible in terms of executing UI test automation. This course walks you through the entire process, from installing Python, to writing your first script, all the way through completion, testing, and troubleshooting your code. <br><br>
Note: This course was created by HeadSpin University. We are pleased to host this training in our library.",Course,2022-12-10 01:18 UTC,N/A,false,N/A,
Ableton Live: DJing,"DJing is a growing profession. Ableton Live takes your live performances beyond anything achievable with turntables or CD players, making your sets powerful and unique. In this course, author J. Scott Giaquinta demonstrates the techniques DJs around the world use with Ableton Live. He starts with setting up your software and hardware controllers, and importing, warping, and keying tracks in Ableton. Next he discusses cueing and playing tracks, and using fades and the crossfader to mix tracks. Then learn when you should use a DJ mixer as opposed to Ableton's internal mixer, and how to incorporate a microphone into the setup.<br><br>

Scott next introduces some performance tricks to wow your audience, by integrating loops, samples, and FX. He also provides a demo of alternative controllers that can make your performances more dynamic, including a Wiimote, joystick, MIDI keyboard, and live vocoder. Finally, he discusses methods to record your live DJ set and fine-tune it after the fact.",Course,2019-10-06 21:04 UTC,N/A,false,N/A,
Using Python for Automation,"In any organization, there are tasks that would benefit from automation, but often the processes are too niche for standard software. Python is an easy-to-learn programming language that allows organizations to script custom automation and reap the time-savings. In this course, you can learn how to automate your own repetitive tasks using Python. This course provides a “cookbook” for developers and non-developers alike, allowing you to automate almost anything: from filling out PDFs and launching programs, to sending emails and voicemails, working with calendars, and organizing files and folders. Discover how to use Python and open-source libraries and tools such as Beautiful Soup and Selenium to craft elegant solutions that do the grunt work for you.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2022-07-29 01:29 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-04-05 16:47 UTC,N/A,false,N/A,
"Python for Data Science Tips, Tricks, & Techniques","Modern work in data science requires skilled professionals versed in analysis workflows and using powerful tools. Python can play an integral role in nearly every aspect of working with data—from ingest, to querying, to extracting and visualizing. This course highlights twelve tips and tricks you can put into practice to improve your skills in Python. These techniques are readily applied and in common data management tasks and include the following: how to ingest data using CSV, JSON, and TXT files; how to explore data using libraries like Pandas; how to organize and join data using DataFrames; how to create charts and graphic representations of data using ggplot in Python; and more.",Course,2020-05-14 19:46 UTC,N/A,false,N/A,
Learning Python (2020),"Python—the popular and highly readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2018-11-18 06:06 UTC,N/A,false,N/A,
Organizing Your Remote Office for Maximum Productivity,"Working remotely gives you amazing freedom, but how you set up your office makes all the difference. To maximize your productivity, you need to be able to easily transition from home life to work life and back again. From setting up your physical space to managing your digital life, author and productivity expert Paula Rizzo can help you get more done when working remotely. Learn to harness your personal productivity style to create an intentional workspace; adapt any room, regardless of size; choose the right equipment and technology; present better during video meetings; organize your documents and files; and set boundaries with those you share space with. Plus, learn to plan ahead to take your workspace on the road—wherever business takes you.",Course,2021-02-14 14:42 UTC,N/A,false,N/A,
Understanding and Supporting Asian Employees,"Underrepresented employees face unique challenges in the workplace, and understanding how to support them in these challenges is key to building a more inclusive workplace. Dr. Sarah-SoonLing Blackburn shows you how to get started. She begins with important terminology and breaks down the model minority myth. Dr. Blackburn explains why lived experiences matter in the workplace and goes over several issues that impact Asian employees at work. She points out that the Asian community is not a monolith and discusses ways to build a more meaningfully inclusive workplace culture. Dr. Blackburn covers several steps you can take to support Asian employees, such as making space for discussion and speaking up against bias. She concludes by describing how everyone has a role to play in creating inclusive workplace environments. 
<br><br>
Note: This course contains US-based examples and scenarios; however, learners around the world may still find the concepts applicable.",Course,2022-02-14 18:23 UTC,N/A,false,N/A,
Human Resources: Managing Employee Problems,"Every company has people problems. Managing them is one of the core responsibilities for human resources. So how should an HR professional approach the inevitable conflicts that can arise in the workplace? In this course, JoAnn Corley explains the role of an administrator—enforcing policy and legal rules—as well as the need and role of an advisor—coaching and viewing problems as opportunities for growth. First, get an overview of the most common employee problems and why they can present a legal risk to your company. Then learn why, as with most HR functions, problem management starts by putting a good process in place. Discover the importance of training and documentation, and find out how to circle back to the employee handbook when problems occur. JoAnn also explains how to move from the administrator to the advisor mindset by having conversations with employees and partnering with their managers to move situations forward. She shares real-life scenarios that allow you to see how to handle problems in practice, and possibly even anticipate problems <i>before</i> they happen.",Course,2022-07-21 22:22 UTC,N/A,false,N/A,
Beginning Blues Keyboard,"Learn how to play blues piano. In this course, Tricia Woods dives into the basic building blocks of blues, and helps you acquire the skills you need to really sound like a blues player. To begin, Tricia demonstrates the chord progressions for the 12-bar blues—the most classic of all blues forms. Next, she discusses the blues scale, dominant chords, comping, turnaround, endings, introductions, boogie-woogie bass lines, and more.<br><br>

Note: This course was created and produced by Alfred Music. We are honored to host this training in our library.",Course,2020-04-28 22:41 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2018-08-07 19:33 UTC,N/A,false,N/A,
Nano Tips for Interpersonal Communication with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.  In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies Shadé Zahrai shares tips for improving interpersonal communication skills. Shadé explains the importance of choosing words that foster collaboration, shows how you can transform your communication with positive reinforcement, describes the biggest conversation buzzkill, and more.",Course,2023-11-28 18:08 UTC,N/A,false,N/A,
Excel 2016 Essential Training,"Start mastering Excel, the world's most popular and powerful spreadsheet program, with Excel expert Dennis Taylor. Learn how to best enter and organize data, perform calculations with simple functions, work with multiple worksheets, format the appearance of your data and cells, and build charts and PivotTables. Other lessons cover the powerful IF, VLOOKUP, and COUNTIF family of functions; the Goal Seek, Solver, and other data analysis tools; and automating tasks with macros.",Course,2018-12-05 17:02 UTC,N/A,false,N/A,
GraphQL: The Documentary,"This film from Honeypot Originals, featuring Lee Byron, Dan Schafer and Nick Schrock (co-creators of GraphQL) and other big names from the GraphQL community, <i>GraphQL: The Documentary</i> explores the story of why and how GraphQL came to be and the impact this open-source data query and manipulation language is having on big tech companies worldwide, including Facebook, Twitter, Airbnb, and GitHub.

<br><br>Note: This course was created by Honeypot. We are pleased to host this training in our library.",Course,2022-08-06 02:10 UTC,N/A,false,N/A,
Ethical Hacking: SQL Injection,"SQL injections are a common way to gain unauthorized access to web applications and extract data from them. In this course, instructor Malcolm Shore shows you the SQL command language and how it is used by attackers to craft SQL Injections. Malcolm begins with commonly encountered relational databases and the basics of the SQL command language. Then he focuses on advanced SQL commands that may be used by attackers to achieve SQL injections. Malcolm explains how to use a simple Python script and how an SQL injection changes the backend SQL query. Then he demonstrates how SQL injections could be used to exploit some testing targets.  Malcolm steps through the process of automating SQL injection exploits, then finishes with advice on how to continue to hone your skills as a penetration tester.",Course,2023-09-07 21:59 UTC,N/A,false,N/A,
Selling with Empathy during Uncertain Times,"It's only natural that uncertain economic conditions create anxiety for salespeople and buyers alike. But a shift in your focus can help you quiet the fear and show up for customers when they need you most. Join Lisa McLeod as she helps you navigate selling in uncertain times. Lisa and her team have coached hundreds of sales professionals through economic turbulence, product launch failures, and other difficulties. In this course, she provides an empathetic, customer-centric approach to sales that will help you connect with customers, solve their most urgent problems, and identify the most authentic version of yourself. Use these tips to rise to the challenge and turn uncertain times into an opportunity to succeed.",Course,2020-11-27 19:53 UTC,N/A,false,N/A,
Parallel and Concurrent Programming with C++ Part 1,"Parallel programming unlocks a program’s ability to execute multiple instructions simultaneously. It increases the overall processing throughput and is key to writing faster and more efficient applications. This training course introduces the basics of concurrent and parallel programming in C++, providing the foundational knowledge you need to write more efficient, performant code. Instructors Barron and Olivia Stone explain concepts like threading and mutual exclusion in a fun and informative way, relating them to everyday activities you perform in the kitchen. To cement the ideas, they demo them in action using C++. Each lesson is short and practical, driving home the theory with hands-on techniques.",Course,2022-03-16 15:29 UTC,N/A,false,N/A,
React: Managing Complex Interactions,"One of the most powerful things you can build in React-interactions-is also one of the most complicated. But to create a compelling user experience, you'll need to be able to connect and combine a wide variety of interactions. This course shows how to add and manage complex interactions in React using states and some useful third-party libraries. Learn how to add hover and click interactions, navigation popups, grids and galleries, scrolling, and more. Instructor Emmanuel Henri also provides tips for improving your UX designs after implementing interactions.",Course,2020-03-30 15:31 UTC,N/A,false,N/A,
Learning Soldering for Electronics,"In an electronic product such as a cell phone, toy, or automobile, electronic components are attached using solder, a metal compound that melts at a low-enough temperature to be able to be worked by hand or machine. Whether you are prototyping a new product, manufacturing a product at scale, or working on a project in your spare time, you will need to learn how to solder in order to create the electrical and mechanical connections that make it all work. In this course, learn about the tools and techniques needed to make great solder connections. Plus, get troubleshooting tips, including how to fix a cold solder joint and repair a mistake in a PCB.",Course,2021-05-06 00:05 UTC,N/A,false,N/A,
React: Design Patterns,"If you’ve learned the basics of React and have worked on many React applications, chances are you’ve run into some recurring problems and situations, like creating reusable layouts or working with forms. If you’ve been on the hunt for solutions to common problems, look no further than this course with Shaun Wassell, where he covers many of the most useful design patterns—effective and repeatable solutions to common application development challenges. This course consists of several sections, each of which will cover a group of React design patterns, ranging from preferred syntax for specific tasks to how to arrange components in the most effective way. Among the topics Shaun covers are composition, higher-order components, state hoisting, controlled vs. uncontrolled components, and many other patterns that help a React app develop into a well-organized codebase.",Course,2021-11-02 23:46 UTC,N/A,false,N/A,
Presenting to Senior Executives,"Exposure to senior executives (also known as the C suite) can change the trajectory of your career. If you’re presenting to this audience, you need to navigate unique challenges, like getting their attention and garnering action. In this course, learn methods you can use to communicate your message effectively to these key decision makers, resulting in buy-in and response. Discover the value of brevity and the importance of conveying the return on investment (ROI). Learn how to handle challenging questions, frame your message, harness the power of story, and use a high-level approach. Explore how to navigate the unexpected, from interruptions and tech failures to re-engaging the distracted. Additionally, find out how to demonstrate competence, earn credibility, and generate results by making the most of your presentation opportunity.",Course,2021-07-10 00:11 UTC,N/A,false,N/A,
Python for Non-Programmers,"Did you know that learning Python is one of the easiest ways to learn to code? It’s true. And in this course you can avoid the jargon and make learning how to code a lot more fun. You don’t have to be an expert technician, either. Join instructor Nick Walter and find out what you need to get started now.<br><br>In this course, Nick teaches the fundamentals of Python to you: a non-programmer, a user with little to no coding experience. Learn more about what Python is, and what it is and isn’t used for. Explore how Python works with numbers and how you can interact with simple programs such as a simple number-guessing game. Find out how to work with text in Python by building a reusable function to count the words in a block of text. And along the way, tackle quick challenges and other games that allow you to put your new skills to the test.",Course,2022-04-07 17:01 UTC,N/A,false,N/A,
Angular: Routing,"Angular routing allows you to define both the navigation and the modular structure of your application. This training course provides the skills you need to design and build real-world applications using Angular 4 routing. Instructor Greg Bardwell covers setting up and configuring routes, passing data via parameters, protecting routes with authorization, and nesting or child routing. Plus, learn valuable application design strategies such as route guards, modularization, and lazy loading.",Course,2019-07-30 02:58 UTC,N/A,false,N/A,
Practical Engineering,"Engineering involves a lot of theory. But we don't always get to see it in practice. This series teaches fundamental principles that all civil and mechanical engineers need to know, alongside demonstrations that show how they really work. Using everything from desktop models predicting the movement of groundwater to hand-built examples of mechanically stabilized earth, instructor Grady Hillhouse explains how engineering concepts become real. Every month, he introduces an important new topic that will improve your understanding of essential engineering principles, including force, strength, tension, compression, and more, and help you find better solutions to common design challenges.<br><br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2023-01-12 00:46 UTC,N/A,false,N/A,
C++ Game Programming 1,"Get a fun introduction to the world of game programming with C++. This course teaches the basics of game development with C++ and the OpenGL-powered Simple and Fast Multimedia Library (SFML), using three fully playable sample games: an addictive two-button tapper, a multilevel zombie survival shooter, and a split-screen multiplayer puzzle. Instructor John Horton starts with the very basics of programming, including variables, loops, and conditions. Become more skillful with each game as you move through the key C++ topics, such as object-oriented programming, C++ pointers, and the Standard Template Library. While building these games, you can also learn exciting game programming concepts like collision detection, sprite sheets, views, the HUD (heads-up display), and more.<br><br>

This course was created and produced by Packt Publishing. We are honored to host this training in our library.",Course,2019-07-16 16:25 UTC,N/A,false,N/A,
Construction Management: Managing Risk,"Risk is an inherent part of construction and an integral part of the construction manager's job. Over the course of a project, you may have to manage compliance and safety issues, schedule and cost overruns, contract disputes, and more. To be successful, you need to understand the biggest risk factors faced on a job site and how to mitigate them. In this course, OSHA Authorized Outreach Trainer Jim Rogers explains the basics of risk management for construction. Learn how risk changes with the complexity of the project and the type of delivery method being employed. Review your role and the scope of the risk management process, from analysis to control. Along the way, review how technology can help you manage the challenges involved in daily activities using risk analysis and risk mitigation tools.",Course,2021-06-21 03:44 UTC,N/A,false,N/A,
Advanced Threading in C#,"Learn how to write C# applications that perform multiple tasks concurrently-aka multithreaded applications. Programs that use multithreading are more responsive to user input because the user interface stays active as processor-intensive tasks execute on separate threads. Multithreading is also useful when you create scalable applications because you can add threads as the workload increases. In this course, Microsoft MVP Chander Dhall reviews the basics of threading and signaling, and then shows how to use the popular .NET library for parallel execution, TPL; the query syntax PLINQ; and the recommended asynchronous programming pattern, TAP. By the end of the course, he shows how to turn sequential code into a multithreaded application that runs five times faster than before.",Course,2018-12-06 20:59 UTC,N/A,false,N/A,
Web Video: Lighting,"Join Rick Allen Lippert, as he shows off some simple and inexpensive lighting techniques to make everyone look their best on camera. This concise course in our <em>On Camera</em> series covers topics such as gathering your equipment, basic lighting for a home or office environment, understanding how color temperature works, and three-point lighting. Rick also touches on how to procure good audio from your recording, how to create the best appearance on camera, and working with built-in and portable webcams.",Course,2020-06-02 22:21 UTC,N/A,false,N/A,
The Art of Rotoscoping,"Turn your video footage into a work of art. Learn the basics of rotoscoping to build creative effects and to isolate video elements for compositing or VFX. In this course, instructor and mograph artist Eran Stern starts by diving the history and origin of rotoscoping in film and video, providing the background for subsequent practical techniques. He shows how to transform video into natural art—from pencil sketches to Van Gogh paintings, claymation to chalkboard drawings, watercolors to graffiti, and ink blots, Legos, comic books, pastels, and much more. You can also find out how to use the same foundational techniques to isolate elements for compositing and visual effects work, and create simple character animations. Plus, explore the different software for rotoscoping, from Photoshop and After Effects to professional applications such as Mocha AE.",Course,2021-02-27 15:54 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,Course,2019-12-19 15:22 UTC,N/A,false,N/A,
The Step-by-Step Guide to Building your Thought Leadership on LinkedIn,"Generating business, reaching new clients, or acting as a spokesperson for your company or product—there are many benefits to building your thought leadership on LinkedIn. Whether you are a seasoned professional or just starting out, Alexandra Galviz (""Authentic Alex”) can help. Alex is a Linked Top Voice for the UK and the cofounder of #LinkedInLocal. In this course, she offers a step-by-step guide to using LinkedIn to reach audiences and establish your expertise. She explains how to craft an authentic voice, grow your audience of brand ambassadors, and create courageous content. Each chapter is filled with examples of her favorite thought leaders in the UK, from entrepreneurs to business leaders. By the end, you’ll be sharing your stories in an authentic and relatable way and creating a deeper connection with your network.",Course,2020-11-01 15:05 UTC,N/A,false,N/A,
React: Server-Side Rendering (2018),"Server-side rendering lets you optimize your applications to use client or server resources depending on network and device circumstances. Old device on a slow network? Render on the server.  New device, fast network? You should probably let the client do the work.  Some call the resulting architecture ""universal,"" others ""isomorphic,"" but the results are smooth. Learn about implementing server-side rendering, or SSR, in your React projects. Emmanuel Henri shows how to set up an SSR project with React and Next.js, add a centralized store with Redux, and configure custom routes with Express and Next.js. He wraps up the course with a discussion of code splitting, which can improve application performance.",Course,2018-11-23 01:38 UTC,N/A,false,N/A,
Creating a Serverless Application Using React in AWS,"React is one of the key technologies that the new and modern web is being built upon. In this course, instructor Brett McLaughlin shows you how React and a complete web development ecosystem work together in building applications. Brett goes through all the steps in getting your React app set up, deployed, connected, and supported. Next, he steps you through creating React components to organize and display your content. Brett teaches you how to add cloud services like a database using JSON data and encourages you to ensure your code works on the cloud platform you're targeting. He covers how to interact with AWS and DynamoDB through the command line, then how to create and use a DynamoDB table. Next, Brett goes into how to create, load, and test a new role that can execute Lambda functions and interact with DynamoDB. He walks you through creating and deploying an API gateway. Brett concludes by showing you how to connect your React code to an API Gateway endpoint.",Course,2023-05-24 22:19 UTC,N/A,false,N/A,
First Look: Python 3.9,"Python, like any modern language, is always evolving. In this course, instructor Claire Burn dives into Python 3.9, highlighting the new features, improvements, and deprecations packed into this release. Learn about the significant Python Enhancement Proposals (PEPs) included in Python 3.9, as well as how to distinguish which modules are new (and why they are notable). Discover which modules have been deprecated and why this was necessary. Plus, get tips for overcoming common challenges while porting from Python 2 to Python 3.9, or Python 3.x to Python 3.9.",Course,2021-04-21 04:18 UTC,N/A,false,N/A,
Delivering an Authentic Elevator Pitch,"Find out how to craft an authentic personal pitch while projecting competence and warmth—two key factors in making a great first impression. Instructor Tatiana Kolovou shares how building trust with people and making a positive first impression isn’t a matter of magic. Tatiana reveals how verbal and nonverbal behaviors can influence the way people react in an initial meeting, whether in person, over the phone, or online.",Course,2020-10-11 22:59 UTC,N/A,false,N/A,
Code Clinic: C#,"Successful programmers know more than just how to code. They also know how to think about solving problems. <i>Code Clinic</i> is a series of courses in which our instructors solve the same problems using different programming languages. In each course, instructors provide tips and tricks for working in a particular language and help you grasp why you might want to learn one language over another. Here, Anton Delsink works with C#. Throughout the course, Anton introduces challenges and then provides an overview of his solutions in C#. Challenges include topics such as geolocation, face recognition, and accessing peripherals. Visit other courses in the series to see how to solve the same challenges in languages like C++, JavaScript, PHP, Python, Ruby, Go, and Swift.",Course,2021-02-07 03:21 UTC,N/A,false,N/A,
LPIC-2 Linux Engineer (202-450): 6 System Security,"The LPIC-2 Linux Engineer (202-450) course is designed for IT Professionals who are seeking the LPIC-2 certification. This series of courses from ITProTV covers the skills required of any intermediate to advanced systems administrator who is tasked with supporting Linux in a production environment. This course, sixth in the series, focuses on system security. Learn how to build a router and configure port forwarding, with iptables, and review how to use iptables as a firewall. Explore building a FTP server with vsftpd and Pure-FTPd. Find out how to restrict access to SSH and enable certificate authentication in SSH. Go over how to use Fail2ban to block brute force attacks and scan for open ports with Nmap. Plus, dive into building a VPN server with OpenVPN and configuring an OpenVPN client.
 <br><br>
Note: This course was created by ITProTV. We are pleased to host this training in our library.",Course,2023-02-15 20:53 UTC,N/A,false,N/A,
